timestamps,TP9,AF7,AF8,TP10,Right AUX
1740794962.0768225,-33.203125,-33.69140625,-42.48046875,-24.90234375,0.0
1740794962.0807283,-32.71484375,-36.1328125,-43.45703125,-30.76171875,0.0
1740794962.0846343,-39.0625,-39.55078125,-41.50390625,-22.4609375,0.0
1740794962.0885403,-26.85546875,-32.71484375,-41.9921875,-17.578125,0.0
1740794962.092446,-3.41796875,-27.83203125,-40.52734375,-19.53125,0.0
1740794962.096352,-20.5078125,-26.85546875,-32.71484375,-10.7421875,0.0
1740794962.1002579,-34.1796875,-32.71484375,-31.73828125,-7.32421875,0.0
1740794962.104164,-32.71484375,-31.25,-39.55078125,-4.8828125,0.0
1740794962.10807,-33.69140625,-23.92578125,-39.0625,-16.11328125,0.0
1740794962.1119757,-21.97265625,-33.203125,-34.1796875,-21.97265625,0.0
1740794962.1158817,-30.76171875,-33.69140625,-36.1328125,-16.6015625,0.0
1740794962.1197875,-51.7578125,-35.64453125,-40.52734375,-25.87890625,0.0
1740794962.1236973,-50.29296875,-41.9921875,-35.64453125,-32.2265625,0.0
1740794962.1276033,-39.55078125,-42.48046875,-33.203125,-37.109375,0.0
1740794962.131509,-40.0390625,-42.48046875,-31.73828125,-38.57421875,0.0
1740794962.135415,-55.17578125,-43.45703125,-31.73828125,-41.50390625,0.0
1740794962.1393209,-68.84765625,-41.50390625,-35.64453125,-44.921875,0.0
1740794962.1432269,-42.48046875,-31.25,-35.64453125,-39.55078125,0.0
1740794962.1471329,-28.80859375,-32.2265625,-37.109375,-26.85546875,0.0
1740794962.1510386,-65.91796875,-35.15625,-39.55078125,-37.59765625,0.0
1740794962.1549447,-67.3828125,-29.296875,-39.0625,-44.921875,0.0
1740794962.1588504,-39.55078125,-34.1796875,-41.015625,-42.48046875,0.0
1740794962.1627564,-54.19921875,-40.0390625,-46.38671875,-43.9453125,0.0
1740794962.1666625,-75.1953125,-42.48046875,-44.921875,-43.45703125,0.0
1740794962.1705742,-65.4296875,-39.0625,-40.52734375,-40.0390625,0.0
1740794962.1744802,-47.36328125,-38.0859375,-39.55078125,-33.203125,0.0
1740794962.178386,-32.2265625,-35.15625,-36.1328125,-31.25,0.0
1740794962.182292,-40.52734375,-33.203125,-37.109375,-34.1796875,0.0
1740794962.186198,-53.22265625,-42.96875,-41.9921875,-35.15625,0.0
1740794962.1901038,-43.45703125,-51.26953125,-37.109375,-35.64453125,0.0
1740794962.1940098,-41.015625,-41.50390625,-40.52734375,-37.59765625,0.0
1740794962.1979156,-49.31640625,-33.69140625,-40.52734375,-37.109375,0.0
1740794962.2018216,-55.17578125,-43.9453125,-30.2734375,-38.0859375,0.0
1740794962.2057276,-48.33984375,-44.43359375,-32.2265625,-33.69140625,0.0
1740794962.2096334,-38.57421875,-39.0625,-34.1796875,-30.76171875,0.0
1740794962.2135394,-42.48046875,-30.2734375,-31.73828125,-35.64453125,0.0
1740794962.2174509,-46.38671875,-29.78515625,-38.57421875,-38.57421875,0.0
1740794962.2213569,-37.59765625,-37.59765625,-33.203125,-34.1796875,0.0
1740794962.2252626,-47.8515625,-47.8515625,-30.2734375,-37.109375,0.0
1740794962.2291687,-54.19921875,-51.26953125,-38.0859375,-36.62109375,0.0
1740794962.2330744,-44.43359375,-47.8515625,-33.69140625,-34.1796875,0.0
1740794962.2369804,-52.734375,-42.48046875,-25.87890625,-38.57421875,0.0
1740794962.2408864,-52.24609375,-36.62109375,-28.80859375,-39.0625,0.0
