timestamps,TP9,AF7,AF8,TP10,Right AUX
1740789314.0082197,0.10176760195227857,-0.49551440938471547,0.3602548160284363,0.2269892450597,nan
1740789314.0121255,0.10050492698396073,-0.4967864669425562,0.3409098873724218,0.21952604666755793,nan
1740789314.0160313,0.09744233749522986,-0.49546654107614335,0.3181691590448204,0.20946374560340603,nan
1740789314.0199373,0.09265312020564735,-0.49160364186065686,0.29217384218704295,0.19688167983267937,nan
1740789314.023843,0.0862314340304223,-0.48527080518273,0.26309668729567215,0.18188521400413243,nan
1740789314.0277488,0.07829128810936212,-0.47656419077950196,0.23114054056631422,0.16460474475571585,nan
1740789314.0316546,0.0689653026490515,-0.4656019462658026,0.19653660071703868,0.14519445188241226,nan
1740789314.0355606,0.0584032652236288,-0.452522849579331,0.1595423925263709,0.12383080752378303,nan
1740789314.0394664,0.046770497339856505,-0.43748474452782393,0.12043947617568988,0.10071085797200849,nan
1740789314.0433722,0.03424604808341476,-0.4206627862218228,0.07953091415603551,0.07605029500032545,nan
1740789314.0472782,0.021020733504552063,-0.4022475151004781,0.03713851995786267,0.05008133574393008,nan
1740789314.051184,0.007295042053464231,-0.3824427799866795,-0.0064000850157299805,0.023050432109067633,nan
1740789314.055093,-0.006723072178344334,-0.361463532124124,-0.05073457790885284,-0.004784167578245597,nan
1740789314.0589988,-0.020820485429991802,-0.3395335134376855,-0.09550517415855564,-0.033154980462369074,nan
1740789314.0629046,-0.034781265485594945,-0.3168828633067209,-0.14034596905178026,-0.061787949096223024,nan
1740789314.0668106,-0.04838907341506527,-0.2937456689383069,-0.1848883485421563,-0.09040517292117992,nan
1740789314.0707164,-0.06142958063307241,-0.2703574849660931,-0.22876443602044771,-0.11872768403082869,nan
1740789314.0746222,-0.07369287583427873,-0.24695284817514862,-0.27161054130765333,-0.1464782394812216,nan
1740789314.0785282,-0.08497583639067255,-0.2237628132615116,-0.31307057804967003,-0.17338410220741265,nan
1740789314.082434,-0.09508443908633829,-0.20101253527707505,-0.3527994159386235,-0.19917978268260597,nan
1740789314.0863397,-0.10383598561368688,-0.17891892388913497,-0.3904661347663374,-0.2236097138112222,nan
1740789314.0902455,-0.11106121905829013,-0.15768839380463895,-0.42575714822501537,-0.24643083217774733,nan
1740789314.0941515,-0.11660630864904406,-0.13751473468032233,-0.45837916660014477,-0.2674150396729629,nan
