timestamps,TP9,AF7,AF8,TP10,Right AUX
1740447707.5669963,-43.9453125,-44.43359375,-43.45703125,-46.875,0.0
1740447707.570902,-41.015625,-41.9921875,-43.9453125,-39.55078125,0.0
1740447707.574808,-33.69140625,-45.41015625,-41.50390625,-35.15625,0.0
1740447707.5787137,-31.25,-43.45703125,-42.48046875,-30.76171875,0.0
1740447707.5826194,-30.76171875,-42.96875,-44.43359375,-29.78515625,0.0
1740447707.5865252,-37.109375,-43.9453125,-42.48046875,-33.203125,0.0
1740447707.590431,-42.48046875,-38.57421875,-42.96875,-41.50390625,0.0
1740447707.594337,-38.0859375,-35.15625,-40.0390625,-38.57421875,0.0
1740447707.5982428,-37.59765625,-34.66796875,-38.0859375,-35.15625,0.0
1740447707.6021485,-41.9921875,-32.71484375,-37.109375,-35.64453125,0.0
1740447707.6060543,-44.921875,-35.15625,-39.55078125,-39.0625,0.0
1740447707.60996,-43.45703125,-42.48046875,-40.52734375,-41.9921875,0.0
1740447707.6138685,-31.25,-39.0625,-35.64453125,-32.71484375,0.0
1740447707.6177742,-28.3203125,-34.1796875,-34.66796875,-32.71484375,0.0
1740447707.62168,-41.50390625,-42.96875,-32.71484375,-37.109375,0.0
1740447707.6255858,-43.9453125,-44.43359375,-32.2265625,-32.2265625,0.0
1740447707.6294916,-36.62109375,-34.66796875,-33.203125,-30.2734375,0.0
1740447707.6333973,-39.55078125,-36.1328125,-39.0625,-35.15625,0.0
1740447707.637303,-36.62109375,-42.48046875,-42.48046875,-37.109375,0.0
1740447707.641209,-35.64453125,-41.9921875,-41.9921875,-34.66796875,0.0
1740447707.6451147,-34.1796875,-32.71484375,-37.59765625,-35.64453125,0.0
1740447707.6490204,-31.73828125,-32.71484375,-32.71484375,-36.1328125,0.0
1740447707.6529262,-41.015625,-40.52734375,-30.2734375,-37.109375,0.0
1740447707.656832,-45.8984375,-40.0390625,-32.71484375,-35.64453125,0.0
1740447707.6607432,-39.55078125,-40.0390625,-36.62109375,-36.1328125,0.0
1740447707.664649,-49.31640625,-46.875,-35.15625,-38.57421875,0.0
1740447707.668555,-52.24609375,-50.78125,-30.76171875,-35.15625,0.0
1740447707.6724608,-41.015625,-43.9453125,-29.78515625,-33.69140625,0.0
1740447707.6763666,-35.64453125,-41.015625,-33.203125,-31.25,0.0
1740447707.6802723,-38.57421875,-42.96875,-35.64453125,-35.15625,0.0
1740447707.684178,-42.48046875,-51.7578125,-37.59765625,-35.15625,0.0
1740447707.688084,-44.921875,-48.828125,-38.57421875,-33.203125,0.0
1740447707.6919897,-49.31640625,-35.64453125,-41.015625,-40.52734375,0.0
1740447707.6958954,-43.9453125,-38.0859375,-41.9921875,-37.109375,0.0
1740447707.6998012,-34.1796875,-34.1796875,-34.66796875,-26.3671875,0.0
1740447707.703707,-40.0390625,-32.2265625,-32.2265625,-26.3671875,0.0
1740447707.7076142,-48.828125,-43.45703125,-38.0859375,-38.57421875,0.0
1740447707.71152,-38.57421875,-44.43359375,-38.0859375,-34.1796875,0.0
1740447707.715426,-41.50390625,-43.9453125,-39.55078125,-37.59765625,0.0
1740447707.7193317,-47.8515625,-45.8984375,-39.55078125,-44.43359375,0.0
1740447707.7232375,-40.0390625,-42.48046875,-38.0859375,-36.62109375,0.0
1740447707.7271433,-34.1796875,-34.66796875,-37.59765625,-34.1796875,0.0
1740447707.731049,-31.73828125,-35.64453125,-39.0625,-34.66796875,0.0
1740447707.7349548,-27.34375,-37.59765625,-34.1796875,-35.15625,0.0
1740447707.7388606,-34.1796875,-36.1328125,-31.25,-37.59765625,0.0
1740447707.7427664,-39.55078125,-39.0625,-32.2265625,-40.52734375,0.0
1740447707.7466722,-28.80859375,-40.52734375,-38.0859375,-37.109375,0.0
1740447707.750578,-23.4375,-34.66796875,-37.109375,-33.203125,0.0
1740447707.754485,-33.203125,-34.66796875,-32.71484375,-33.69140625,0.0
1740447707.7583907,-37.109375,-34.1796875,-36.1328125,-34.66796875,0.0
1740447707.7622964,-25.390625,-28.3203125,-33.69140625,-33.69140625,0.0
1740447707.7662022,-20.5078125,-33.69140625,-29.296875,-29.78515625,0.0
1740447707.770108,-24.90234375,-40.52734375,-38.0859375,-32.71484375,0.0
1740447707.774014,-23.92578125,-39.55078125,-42.48046875,-40.52734375,0.0
1740447707.7779198,-32.71484375,-41.015625,-41.9921875,-42.48046875,0.0
1740447707.7818255,-33.69140625,-42.96875,-42.96875,-36.62109375,0.0
1740447707.7857313,-28.80859375,-43.45703125,-41.50390625,-37.59765625,0.0
1740447707.789637,-33.69140625,-45.41015625,-42.48046875,-42.96875,0.0
1740447707.7935429,-31.25,-43.9453125,-41.50390625,-42.96875,0.0
1740447707.7974486,-26.3671875,-37.109375,-35.15625,-31.25,0.0
1740447707.8013585,-34.1796875,-35.15625,-39.0625,-31.73828125,0.0
1740447707.8052642,-44.921875,-39.55078125,-48.828125,-36.62109375,0.0
1740447707.80917,-38.57421875,-35.15625,-43.9453125,-30.76171875,0.0
1740447707.8130758,-32.2265625,-34.66796875,-35.15625,-33.69140625,0.0
1740447707.8169816,-41.015625,-40.0390625,-35.64453125,-38.0859375,0.0
1740447707.8208873,-40.0390625,-45.8984375,-34.66796875,-35.15625,0.0
1740447707.8247933,-42.96875,-51.26953125,-39.55078125,-41.015625,0.0
1740447707.828699,-47.36328125,-41.50390625,-43.45703125,-45.8984375,0.0
1740447707.832605,-45.8984375,-35.64453125,-37.59765625,-40.52734375,0.0
1740447707.8365107,-45.41015625,-46.875,-36.1328125,-33.203125,0.0
1740447707.8404164,-40.52734375,-39.0625,-38.0859375,-37.109375,0.0
1740447707.8443222,-36.1328125,-36.1328125,-40.0390625,-41.015625,0.0
1740447707.8482316,-32.71484375,-41.015625,-40.52734375,-35.15625,0.0
1740447707.8521376,-37.109375,-40.52734375,-39.55078125,-30.2734375,0.0
1740447707.8560433,-41.50390625,-38.57421875,-37.109375,-35.64453125,0.0
1740447707.859949,-37.109375,-40.52734375,-37.109375,-39.55078125,0.0
1740447707.863855,-32.71484375,-41.50390625,-40.52734375,-31.25,0.0
1740447707.8677607,-33.203125,-36.1328125,-43.45703125,-34.1796875,0.0
1740447707.8716664,-34.1796875,-37.109375,-40.0390625,-39.0625,0.0
1740447707.8755722,-30.2734375,-39.0625,-37.109375,-32.71484375,0.0
1740447707.879478,-29.78515625,-37.59765625,-43.9453125,-33.203125,0.0
1740447707.8833838,-33.69140625,-42.48046875,-44.43359375,-33.69140625,0.0
1740447707.8872895,-31.25,-33.69140625,-33.203125,-30.2734375,0.0
1740447707.8911953,-39.0625,-34.66796875,-37.109375,-34.1796875,0.0
1740447707.8951044,-40.52734375,-43.9453125,-43.9453125,-39.0625,0.0
1740447707.8990102,-33.69140625,-41.50390625,-39.55078125,-36.62109375,0.0
1740447707.902916,-33.69140625,-37.59765625,-37.59765625,-34.66796875,0.0
1740447707.9068217,-41.015625,-44.921875,-42.96875,-41.015625,0.0
1740447707.9107275,-35.15625,-46.875,-44.43359375,-35.64453125,0.0
1740447707.9146335,-33.203125,-43.9453125,-38.0859375,-28.80859375,0.0
1740447707.9185393,-37.59765625,-43.9453125,-37.109375,-34.66796875,0.0
1740447707.922445,-41.015625,-43.9453125,-39.0625,-34.1796875,0.0
1740447707.9263508,-50.29296875,-48.33984375,-42.96875,-33.69140625,0.0
1740447707.9302566,-49.31640625,-44.43359375,-41.50390625,-42.48046875,0.0
1740447707.9341624,-42.96875,-40.52734375,-38.57421875,-43.9453125,0.0
1740447707.9380682,-47.36328125,-42.48046875,-45.8984375,-45.41015625,0.0
1740447707.9419782,-49.31640625,-46.38671875,-42.96875,0.0,0.0
1740447707.945884,-35.64453125,-39.55078125,-39.0625,0.0,0.0
1740447707.9497898,-34.1796875,-37.109375,-40.52734375,0.0,0.0
1740447707.9536955,-37.59765625,-37.109375,-31.25,0.0,0.0
1740447707.9576013,-40.52734375,-35.15625,-30.2734375,0.0,0.0
1740447707.961507,-42.96875,-41.9921875,-39.0625,0.0,0.0
1740447707.9654129,-35.15625,-40.52734375,-36.62109375,0.0,0.0
1740447707.9693186,-44.921875,-40.0390625,-36.62109375,0.0,0.0
1740447707.9732244,-39.55078125,-36.62109375,-35.64453125,0.0,0.0
