timestamps,TP9,AF7,AF8,TP10,Right AUX
1741085123.9675906,-60.05859375,-12.6953125,-58.59375,-57.6171875,0.0
1741085123.9714932,-76.171875,-6.8359375,-57.12890625,-66.40625,0.0
1741085123.975396,3.41796875,-23.92578125,-50.78125,-13.671875,0.0
1741085123.9792986,35.15625,-32.2265625,-75.68359375,-6.34765625,0.0
1741085123.9832013,-36.1328125,-22.4609375,-81.0546875,-44.921875,0.0
1741085123.987104,-94.23828125,-35.15625,-58.10546875,-72.75390625,0.0
1741085123.9910066,-35.15625,-53.22265625,-49.8046875,-42.48046875,0.0
1741085123.9949093,32.71484375,-44.43359375,-49.8046875,2.9296875,0.0
1741085123.998812,-15.625,-28.3203125,-57.12890625,-28.3203125,0.0
1741085124.0027146,-64.453125,-20.99609375,-53.22265625,-76.171875,0.0
1741085124.0066173,6.34765625,-32.71484375,-28.80859375,-34.66796875,0.0
1741085124.01052,72.265625,-38.0859375,-35.64453125,30.76171875,0.0
1741085124.0144627,26.85546875,-26.3671875,-51.7578125,5.37109375,0.0
1741085124.0183654,-62.98828125,-28.80859375,-54.19921875,-58.59375,0.0
1741085124.022268,-52.734375,-34.1796875,-51.26953125,-52.734375,0.0
1741085124.0261707,58.59375,-32.71484375,-51.26953125,19.53125,0.0
1741085124.0300734,57.6171875,-32.71484375,-62.5,10.25390625,0.0
1741085124.033976,-60.05859375,-48.828125,-50.29296875,-65.4296875,0.0
1741085124.0378788,-97.16796875,-58.59375,-42.48046875,-91.30859375,0.0
1741085124.0417814,-19.04296875,-48.828125,-35.64453125,-24.4140625,0.0
1741085124.045684,31.25,-26.85546875,-35.15625,18.5546875,0.0
1741085124.0495868,-33.69140625,-24.4140625,-52.24609375,-42.48046875,0.0
1741085124.0534892,-62.01171875,-26.3671875,-37.109375,-73.73046875,0.0
1741085124.057392,-3.41796875,-25.390625,-18.5546875,-20.99609375,0.0
1741085124.061334,14.6484375,-29.78515625,-41.9921875,5.859375,0.0
1741085124.0652366,-26.85546875,-35.64453125,-49.8046875,-34.1796875,0.0
1741085124.0691392,-78.125,-38.57421875,-44.921875,-80.56640625,0.0
1741085124.073042,-48.828125,-37.59765625,-47.36328125,-54.19921875,0.0
1741085124.0769446,23.92578125,-34.66796875,-42.96875,8.7890625,0.0
1741085124.0808473,-0.9765625,-37.109375,-37.59765625,-7.32421875,0.0
1741085124.08475,-66.89453125,-47.8515625,-30.2734375,-60.546875,0.0
1741085124.0886526,-64.453125,-36.62109375,-25.390625,-47.36328125,0.0
1741085124.0925553,10.7421875,-18.5546875,-31.73828125,11.23046875,0.0
1741085124.096458,39.55078125,-30.76171875,-35.64453125,17.578125,0.0
1741085124.1003606,-41.50390625,-40.0390625,-50.78125,-45.41015625,0.0
1741085124.1042633,-70.3125,-31.25,-57.12890625,-64.94140625,0.0
1741085124.1082048,2.44140625,-37.109375,-37.59765625,-23.92578125,0.0
1741085124.1121075,35.15625,-47.36328125,-37.59765625,0.48828125,0.0
1741085124.1160102,-19.04296875,-37.59765625,-38.57421875,-28.80859375,0.0
1741085124.1199129,-105.46875,-45.41015625,-49.8046875,-78.61328125,0.0
1741085124.1238155,-65.4296875,-47.8515625,-46.38671875,-45.41015625,0.0
1741085124.1277182,23.92578125,-31.25,-25.390625,15.625,0.0
1741085124.131621,-20.99609375,-46.38671875,-32.71484375,-8.30078125,0.0
1741085124.1355236,-109.375,-52.24609375,-48.33984375,-72.75390625,0.0
1741085124.1394262,-78.61328125,-40.52734375,-51.26953125,-64.453125,0.0
1741085124.143329,23.92578125,-34.66796875,-42.48046875,2.44140625,0.0
1741085124.1472316,18.06640625,-40.52734375,-40.52734375,2.9296875,0.0
1741085124.1511343,-56.640625,-38.57421875,-42.96875,-55.6640625,0.0
1741085124.1550794,-46.38671875,-24.90234375,-51.7578125,-65.4296875,0.0
1741085124.158982,15.625,-17.08984375,-50.29296875,-6.8359375,0.0
1741085124.1628847,26.3671875,-21.97265625,-41.015625,20.99609375,0.0
1741085124.1667874,-42.96875,-29.78515625,-57.12890625,-31.73828125,0.0
1741085124.17069,-54.19921875,-19.53125,-37.59765625,-62.01171875,0.0
1741085124.1745927,7.32421875,-36.62109375,-26.85546875,-20.01953125,0.0
1741085124.1784954,33.69140625,-52.734375,-40.52734375,10.7421875,0.0
1741085124.182398,-37.109375,-40.0390625,-39.0625,-24.90234375,0.0
1741085124.1863008,-108.88671875,-38.57421875,-36.1328125,-69.3359375,0.0
1741085124.1902034,-45.8984375,-36.1328125,-29.296875,-47.8515625,0.0
1741085124.194106,40.0390625,-27.83203125,-43.45703125,11.71875,0.0
1741085124.1980088,3.41796875,-26.85546875,-43.9453125,0.48828125,0.0
1741085124.2019534,-86.9140625,-31.73828125,-33.203125,-58.10546875,0.0
1741085124.205856,-74.21875,-27.34375,-30.76171875,-47.8515625,0.0
1741085124.2097588,22.94921875,-29.296875,-46.38671875,7.32421875,0.0
1741085124.2136614,44.921875,-24.90234375,-44.921875,9.765625,0.0
1741085124.217564,-52.24609375,-39.0625,-30.76171875,-54.19921875,0.0
1741085124.2214668,-65.91796875,-54.19921875,-23.92578125,-64.453125,0.0
1741085124.2253695,37.109375,-34.1796875,-21.484375,0.9765625,0.0
1741085124.2292721,46.38671875,-23.92578125,-19.04296875,23.92578125,0.0
1741085124.2331748,-74.21875,-36.1328125,-26.85546875,-35.64453125,0.0
1741085124.2370775,-124.0234375,-52.24609375,-33.203125,-58.10546875,0.0
1741085124.2409801,-34.66796875,-41.9921875,-24.90234375,-9.765625,0.0
1741085124.2448828,35.64453125,-35.15625,-23.92578125,23.92578125,0.0
1741085124.2488267,-20.01953125,-41.9921875,-35.64453125,-20.99609375,0.0
