timestamps,TP9,AF7,AF8,TP10,Right AUX
1740797230.3740292,-11.23046875,-22.4609375,-48.828125,-19.04296875,0.0
1740797230.3779352,-9.27734375,-33.203125,-43.45703125,-12.6953125,0.0
1740797230.3818412,-21.97265625,-32.71484375,-42.48046875,-8.30078125,0.0
1740797230.385747,-34.1796875,-34.1796875,-44.43359375,-15.13671875,0.0
1740797230.389653,-31.25,-37.59765625,-41.9921875,-23.4375,0.0
1740797230.393559,-29.296875,-47.8515625,-41.9921875,-25.87890625,0.0
1740797230.3974648,-29.296875,-52.734375,-44.43359375,-24.4140625,0.0
1740797230.4013708,-30.2734375,-43.9453125,-44.43359375,-24.90234375,0.0
1740797230.4052768,-16.11328125,-39.0625,-41.50390625,-22.4609375,0.0
1740797230.4091825,-11.71875,-42.48046875,-43.45703125,-23.92578125,0.0
1740797230.4130886,-23.4375,-37.109375,-46.875,-30.2734375,0.0
1740797230.4169946,-29.78515625,-38.0859375,-41.50390625,-28.80859375,0.0
1740797230.4209042,-24.4140625,-43.9453125,-39.0625,-28.3203125,0.0
1740797230.42481,-23.4375,-41.9921875,-45.41015625,-26.3671875,0.0
1740797230.428716,-29.78515625,-41.50390625,-47.8515625,-32.2265625,0.0
1740797230.432622,-27.83203125,-44.921875,-47.36328125,-30.2734375,0.0
1740797230.4365277,-26.3671875,-45.8984375,-46.875,-17.08984375,0.0
1740797230.4404337,-27.83203125,-49.31640625,-42.96875,-18.5546875,0.0
1740797230.4443398,-24.4140625,-43.9453125,-35.64453125,-13.671875,0.0
1740797230.4482458,-33.69140625,-36.62109375,-32.2265625,-21.97265625,0.0
1740797230.4521515,-42.96875,-45.41015625,-30.76171875,-24.4140625,0.0
1740797230.4560575,-40.52734375,-48.828125,-37.109375,-12.20703125,0.0
1740797230.4599636,-48.828125,-39.55078125,-45.41015625,-34.66796875,0.0
1740797230.4638693,-62.01171875,-37.59765625,-38.57421875,-48.828125,0.0
1740797230.467779,-64.94140625,-42.96875,-40.52734375,-38.57421875,0.0
1740797230.4716847,-48.828125,-41.9921875,-45.8984375,-25.390625,0.0
1740797230.4755907,-51.7578125,-27.83203125,-46.875,-41.50390625,0.0
1740797230.4794967,-57.12890625,-22.4609375,-47.8515625,-57.12890625,0.0
1740797230.4834025,-49.31640625,-30.2734375,-45.8984375,-40.52734375,0.0
1740797230.4873085,-50.29296875,-35.15625,-48.33984375,-40.0390625,0.0
