timestamps,TP9,AF7,AF8,TP10,Right AUX
1740447546.0396261,-34.66796875,-28.80859375,-22.94921875,-35.64453125,0.0
1740447546.0435317,-41.50390625,-41.50390625,-28.3203125,-35.64453125,0.0
1740447546.0474374,-34.66796875,-43.45703125,-26.85546875,-29.78515625,0.0
1740447546.051343,-34.66796875,-40.0390625,-25.87890625,-31.25,0.0
1740447546.0552487,-35.15625,-38.57421875,-26.3671875,-38.0859375,0.0
1740447546.0591543,-35.64453125,-41.015625,-29.78515625,-33.69140625,0.0
1740447546.06306,-39.55078125,-38.0859375,-32.2265625,-29.78515625,0.0
1740447546.0669656,-32.71484375,-26.3671875,-26.3671875,-28.3203125,0.0
1740447546.0708714,-24.4140625,-30.2734375,-26.85546875,-31.25,0.0
1740447546.074777,-30.76171875,-41.50390625,-31.25,-37.59765625,0.0
1740447546.0786827,-32.2265625,-37.109375,-25.390625,-31.25,0.0
1740447546.0825882,-26.85546875,-30.76171875,-23.4375,-27.34375,0.0
1740447546.0865037,-35.15625,-37.59765625,-24.4140625,-35.64453125,0.0
1740447546.0904093,-30.2734375,-32.2265625,-22.4609375,-24.90234375,0.0
1740447546.094315,-29.296875,-26.85546875,-26.3671875,-31.25,0.0
1740447546.0982206,-38.57421875,-37.109375,-35.15625,-42.48046875,0.0
1740447546.1021264,-44.921875,-36.62109375,-36.62109375,-32.2265625,0.0
1740447546.106032,-46.875,-37.59765625,-37.59765625,-32.71484375,0.0
1740447546.1099377,-30.2734375,-35.64453125,-27.34375,-24.90234375,0.0
1740447546.1138432,-27.34375,-27.34375,-23.4375,-22.94921875,0.0
1740447546.117749,-37.109375,-34.66796875,-30.76171875,-32.71484375,0.0
1740447546.1216545,-33.69140625,-37.109375,-28.3203125,-23.92578125,0.0
1740447546.1255603,-39.55078125,-34.1796875,-27.83203125,-31.25,0.0
1740447546.1294658,-41.9921875,-39.0625,-31.73828125,-35.15625,0.0
1740447546.1333807,-37.59765625,-36.62109375,-31.25,-30.2734375,0.0
1740447546.1372864,-40.52734375,-35.15625,-29.78515625,-33.203125,0.0
1740447546.141192,-40.52734375,-34.66796875,-32.2265625,-33.203125,0.0
1740447546.1450977,-33.69140625,-32.71484375,-38.0859375,-31.73828125,0.0
1740447546.1490033,-34.1796875,-35.64453125,-40.52734375,-32.2265625,0.0
1740447546.152909,-34.1796875,-38.57421875,-34.1796875,-31.73828125,0.0
1740447546.1568146,-37.109375,-38.0859375,-33.69140625,-29.296875,0.0
1740447546.1607203,-38.57421875,-32.71484375,-37.109375,-29.296875,0.0
1740447546.164626,-26.3671875,-30.76171875,-32.71484375,-22.94921875,0.0
1740447546.1685317,-37.59765625,-39.55078125,-37.59765625,-39.0625,0.0
1740447546.1724372,-43.45703125,-35.15625,-38.0859375,-53.22265625,0.0
1740447546.176343,-42.96875,-30.76171875,-32.71484375,-51.26953125,0.0
1740447546.1802573,-44.43359375,-34.66796875,-33.69140625,-48.33984375,0.0
1740447546.1841629,-33.69140625,-33.69140625,-37.109375,-47.36328125,0.0
1740447546.1880686,-38.57421875,-31.73828125,-35.64453125,-45.8984375,0.0
1740447546.1919742,-48.828125,-29.78515625,-36.1328125,-47.36328125,0.0
1740447546.19588,-43.45703125,-34.1796875,-36.62109375,-49.31640625,0.0
1740447546.1997855,-44.921875,-35.64453125,-35.64453125,-45.41015625,0.0
1740447546.2036912,-45.41015625,-32.2265625,-37.109375,-40.52734375,0.0
1740447546.2075968,-37.59765625,-33.69140625,-34.1796875,-40.52734375,0.0
1740447546.2115026,-34.1796875,-39.55078125,-28.80859375,-36.62109375,0.0
1740447546.215408,-30.2734375,-35.15625,-31.25,-46.875,0.0
1740447546.2193139,-31.25,-28.3203125,-30.76171875,-41.50390625,0.0
1740447546.2232194,-33.203125,-29.78515625,-26.85546875,-27.34375,0.0
1740447546.227133,-33.69140625,-27.83203125,-30.2734375,-33.69140625,0.0
1740447546.2310388,-36.1328125,-32.71484375,-33.69140625,-36.1328125,0.0
1740447546.2349443,-36.62109375,-36.1328125,-33.203125,-32.2265625,0.0
1740447546.23885,-37.59765625,-37.59765625,-29.78515625,-33.69140625,0.0
1740447546.2427557,-36.62109375,-37.109375,-24.90234375,-33.69140625,0.0
1740447546.2466614,-31.73828125,-36.1328125,-23.4375,-33.69140625,0.0
1740447546.250567,-33.203125,-37.109375,-27.34375,-33.203125,0.0
1740447546.2544727,-39.0625,-30.76171875,-27.34375,-35.64453125,0.0
1740447546.2583783,-44.921875,-31.73828125,-28.3203125,-39.55078125,0.0
1740447546.262284,-44.43359375,-33.203125,-33.69140625,-42.48046875,0.0
1740447546.2661896,-37.109375,-26.85546875,-33.69140625,-42.96875,0.0
1740447546.2700953,-39.0625,-31.25,-32.2265625,-40.52734375,0.0
1740447546.2740083,-41.50390625,-36.1328125,-28.80859375,-43.9453125,0.0
1740447546.277914,-34.66796875,-34.66796875,-26.3671875,-34.66796875,0.0
1740447546.2818196,-33.203125,-32.71484375,-31.73828125,-23.4375,0.0
1740447546.2857254,-42.96875,-30.2734375,-38.0859375,-30.76171875,0.0
1740447546.2896311,-42.96875,-32.71484375,-39.0625,-39.0625,0.0
1740447546.2935367,-38.0859375,-33.69140625,-37.59765625,-40.52734375,0.0
1740447546.2974424,-40.0390625,-33.203125,-37.59765625,-34.1796875,0.0
1740447546.301348,-33.203125,-28.80859375,-32.2265625,-29.296875,0.0
1740447546.3052537,-30.76171875,-30.2734375,-31.73828125,-37.109375,0.0
1740447546.3091593,-38.57421875,-35.15625,-30.2734375,-38.57421875,0.0
1740447546.313065,-36.62109375,-32.71484375,-24.90234375,-37.109375,0.0
1740447546.3169706,-42.96875,-35.15625,-27.34375,-46.875,0.0
1740447546.320883,-48.828125,-41.015625,-31.73828125,-43.9453125,0.0
1740447546.3247888,-41.9921875,-43.45703125,-33.203125,-40.0390625,0.0
1740447546.3286943,-37.109375,-39.55078125,-30.2734375,-45.8984375,0.0
1740447546.3326,-36.62109375,-38.57421875,-37.109375,-46.875,0.0
1740447546.3365057,-39.0625,-36.1328125,-41.50390625,-41.50390625,0.0
1740447546.3404114,-41.015625,-33.69140625,-37.109375,-41.9921875,0.0
1740447546.344317,-40.52734375,-34.1796875,-37.59765625,-41.015625,0.0
1740447546.3482227,-43.9453125,-34.1796875,-38.57421875,-38.0859375,0.0
1740447546.3521283,-49.8046875,-29.78515625,-34.66796875,-43.9453125,0.0
1740447546.356034,-49.31640625,-33.203125,-35.15625,-42.96875,0.0
1740447546.3599396,-45.41015625,-35.15625,-35.64453125,-35.64453125,0.0
1740447546.3638453,-44.921875,-31.25,-29.78515625,-39.55078125,0.0
1740447546.367757,-40.0390625,-37.59765625,-27.83203125,-39.55078125,0.0
1740447546.3716629,-35.15625,-36.62109375,-28.80859375,-33.203125,0.0
1740447546.3755684,-35.15625,-33.203125,-34.66796875,-37.109375,0.0
1740447546.3794742,-36.1328125,-36.62109375,-36.62109375,-38.0859375,0.0
1740447546.3833797,-37.109375,-39.0625,-34.66796875,-41.015625,0.0
1740447546.3872855,-42.48046875,-35.15625,-37.109375,-42.48046875,0.0
1740447546.391191,-44.921875,-34.1796875,-35.15625,-24.90234375,0.0
1740447546.3950968,-47.8515625,-34.66796875,-39.0625,-32.71484375,0.0
1740447546.3990023,-49.31640625,-39.55078125,-41.9921875,-47.8515625,0.0
1740447546.402908,-47.36328125,-41.50390625,-35.64453125,-37.59765625,0.0
1740447546.4068136,-52.24609375,-39.0625,-31.73828125,-39.55078125,0.0
1740447546.4107194,-42.96875,-41.9921875,-34.1796875,-43.9453125,0.0
1740447546.4146307,-20.01953125,-38.0859375,-37.59765625,-34.1796875,0.0
1740447546.4185364,-22.4609375,-33.69140625,-37.59765625,-36.1328125,0.0
1740447546.422442,-51.7578125,-37.59765625,-36.1328125,-48.828125,0.0
1740447546.4263477,-50.78125,-39.0625,-35.15625,-44.43359375,0.0
1740447546.4302533,-38.57421875,-35.15625,-34.1796875,-41.9921875,0.0
1740447546.434159,-39.0625,-36.62109375,-38.57421875,-41.9921875,0.0
1740447546.4380646,-41.9921875,-40.52734375,-38.0859375,-40.0390625,0.0
1740447546.4419703,-41.50390625,-40.0390625,-35.64453125,-41.9921875,0.0
1740447546.445876,-34.1796875,-41.9921875,-36.62109375,-39.0625,0.0
1740447546.4497817,-35.15625,-41.015625,-33.69140625,-34.66796875,0.0
1740447546.4536872,-33.203125,-35.15625,-27.34375,-35.15625,0.0
1740447546.457593,-40.52734375,-34.1796875,-29.78515625,-38.57421875,0.0
1740447546.461513,-37.109375,-40.52734375,-33.203125,-35.64453125,0.0
1740447546.4654188,-26.3671875,-46.38671875,-34.66796875,-38.57421875,0.0
