timestamps,TP9,AF7,AF8,TP10,Right AUX
1741086194.9887936,14.6484375,-34.1796875,-52.734375,-14.16015625,0.0
1741086194.9926987,5.37109375,-36.62109375,-48.33984375,-34.1796875,0.0
1741086194.9966035,-77.63671875,-48.828125,-60.05859375,-77.63671875,0.0
1741086195.0005085,-73.73046875,-42.96875,-63.4765625,-71.2890625,0.0
1741086195.0044136,18.5546875,-39.0625,-45.41015625,-18.06640625,0.0
1741086195.0083187,43.45703125,-33.69140625,-35.64453125,-6.8359375,0.0
1741086195.0122235,-43.45703125,-36.1328125,-40.0390625,-51.26953125,0.0
1741086195.0161285,-94.23828125,-53.7109375,-33.203125,-71.77734375,0.0
1741086195.0200336,-23.92578125,-33.69140625,-22.94921875,-35.64453125,0.0
1741086195.0239387,15.625,-15.13671875,-26.85546875,0.9765625,0.0
1741086195.0278435,-44.921875,-29.296875,-35.64453125,-20.5078125,0.0
1741086195.0317485,-100.09765625,-44.921875,-46.38671875,-70.80078125,0.0
1741086195.0356672,-60.05859375,-45.41015625,-45.41015625,-54.19921875,0.0
1741086195.0395722,23.92578125,-19.53125,-31.25,9.27734375,0.0
1741086195.0434773,-3.90625,-38.57421875,-23.4375,-6.8359375,0.0
1741086195.047382,-94.23828125,-69.3359375,-29.78515625,-68.359375,0.0
1741086195.0512872,-67.3828125,-35.15625,-33.203125,-51.26953125,0.0
1741086195.0551922,36.62109375,-25.390625,-36.1328125,13.18359375,0.0
1741086195.0590973,23.4375,-44.921875,-48.33984375,9.27734375,0.0
1741086195.063002,-97.65625,-46.38671875,-50.78125,-55.17578125,0.0
1741086195.0669072,-110.83984375,-27.34375,-39.55078125,-62.98828125,0.0
1741086195.0708122,-11.23046875,-18.5546875,-26.3671875,-11.71875,0.0
1741086195.0747173,5.859375,-41.9921875,-28.3203125,0.9765625,0.0
1741086195.078622,-83.0078125,-53.22265625,-44.43359375,-49.31640625,0.0
1741086195.0825408,-109.86328125,-41.50390625,-40.0390625,-73.2421875,0.0
1741086195.0864458,-35.15625,-40.52734375,-40.52734375,-34.1796875,0.0
1741086195.0903506,18.06640625,-37.109375,-44.43359375,-3.90625,0.0
1741086195.0942557,-25.390625,-26.85546875,-37.59765625,-34.66796875,0.0
1741086195.0981607,-86.42578125,-35.15625,-37.59765625,-74.21875,0.0
1741086195.1020656,-50.29296875,-49.8046875,-36.62109375,-50.78125,0.0
1741086195.1059706,26.85546875,-41.50390625,-28.80859375,0.48828125,0.0
1741086195.1098757,-6.8359375,-21.484375,-32.71484375,-15.625,0.0
