timestamps,TP9,AF7,AF8,TP10,Right AUX
1740793837.4372003,-20.99609375,-39.0625,-47.8515625,-19.53125,0.0
1740793837.4411063,-24.4140625,-36.62109375,-40.52734375,-15.625,0.0
1740793837.445012,-40.52734375,-39.55078125,-44.921875,-15.13671875,0.0
1740793837.448918,-39.0625,-39.0625,-46.875,-16.6015625,0.0
1740793837.452824,-30.2734375,-33.69140625,-43.9453125,-16.11328125,0.0
1740793837.4567301,-22.4609375,-43.9453125,-42.48046875,-15.625,0.0
1740793837.4606361,-24.90234375,-47.36328125,-42.96875,-17.08984375,0.0
1740793837.4645422,-36.1328125,-38.0859375,-48.33984375,-19.04296875,0.0
1740793837.4684482,-21.97265625,-39.0625,-47.8515625,-14.6484375,0.0
1740793837.4723542,-13.18359375,-44.43359375,-46.38671875,-11.71875,0.0
1740793837.4762602,-28.3203125,-35.64453125,-49.8046875,-23.92578125,0.0
1740793837.4801662,-37.59765625,-36.62109375,-47.36328125,-28.3203125,0.0
1740793837.4840744,-24.4140625,-41.9921875,-45.8984375,-21.97265625,0.0
1740793837.4879804,-23.4375,-41.9921875,-49.31640625,-21.97265625,0.0
1740793837.4918864,-24.90234375,-37.59765625,-49.8046875,-29.296875,0.0
1740793837.4957924,-16.6015625,-38.57421875,-47.8515625,-21.484375,0.0
1740793837.4996984,-22.94921875,-38.0859375,-50.78125,-20.99609375,0.0
1740793837.5036044,-20.5078125,-34.1796875,-50.78125,-22.94921875,0.0
1740793837.5075104,-18.5546875,-25.390625,-45.8984375,-20.5078125,0.0
1740793837.5114164,-31.73828125,-26.85546875,-44.921875,-19.53125,0.0
1740793837.5153224,-22.94921875,-30.76171875,-39.55078125,-13.671875,0.0
1740793837.5192285,-2.9296875,-23.4375,-43.45703125,-12.20703125,0.0
1740793837.5231345,-13.671875,-20.5078125,-46.875,-18.06640625,0.0
1740793837.5270405,-30.2734375,-31.73828125,-45.41015625,-23.4375,0.0
1740793837.5309486,-35.64453125,-38.0859375,-43.45703125,-26.85546875,0.0
1740793837.5348547,-24.90234375,-32.71484375,-42.48046875,-25.87890625,0.0
1740793837.5387607,-13.671875,-30.2734375,-42.48046875,-21.97265625,0.0
1740793837.5426667,-16.6015625,-34.1796875,-37.59765625,-13.671875,0.0
1740793837.5465724,-17.08984375,-34.1796875,-34.1796875,-13.671875,0.0
1740793837.5504785,-29.78515625,-27.34375,-41.015625,-38.57421875,0.0
1740793837.5543845,-33.203125,-26.85546875,-44.921875,-43.45703125,0.0
1740793837.5582905,-22.4609375,-32.2265625,-41.9921875,-38.0859375,0.0
1740793837.5621965,-40.52734375,-32.2265625,-41.50390625,-44.43359375,0.0
1740793837.5661025,-55.17578125,-27.34375,-43.45703125,-51.7578125,0.0
1740793837.5700085,-55.6640625,-30.76171875,-45.8984375,-67.87109375,0.0
1740793837.5739145,-59.5703125,-27.34375,-46.38671875,-70.80078125,0.0
1740793837.5778227,-73.73046875,-28.3203125,-46.875,-69.3359375,0.0
1740793837.5817287,-80.078125,-38.57421875,-48.33984375,-73.73046875,0.0
1740793837.5856347,-66.89453125,-38.0859375,-46.38671875,-62.5,0.0
1740793837.5895405,-56.640625,-38.0859375,-47.8515625,-51.26953125,0.0
1740793837.5934465,-57.12890625,-37.59765625,-49.31640625,-47.8515625,0.0
1740793837.5973525,-52.734375,-32.71484375,-40.0390625,-47.8515625,0.0
1740793837.6012585,-40.52734375,-33.69140625,-31.25,-45.8984375,0.0
1740793837.6051645,-35.64453125,-36.1328125,-31.73828125,-37.109375,0.0
1740793837.6090705,-56.640625,-37.59765625,-44.921875,-45.41015625,0.0
1740793837.6129766,-62.98828125,-30.76171875,-43.9453125,-44.921875,0.0
1740793837.6168826,-43.9453125,-28.3203125,-39.55078125,-33.203125,0.0
1740793837.6207886,-34.66796875,-23.4375,-34.66796875,-33.69140625,0.0
1740793837.6246965,-34.66796875,-16.6015625,-32.71484375,-33.203125,0.0
1740793837.6286025,-41.50390625,-26.3671875,-37.59765625,-30.76171875,0.0
1740793837.6325085,-46.38671875,-28.3203125,-36.62109375,-24.90234375,0.0
1740793837.6364145,-43.45703125,-20.5078125,-37.59765625,-22.94921875,0.0
1740793837.6403205,-34.1796875,-21.97265625,-39.0625,-29.78515625,0.0
1740793837.6442266,-36.62109375,-29.78515625,-37.109375,-40.0390625,0.0
1740793837.6481326,-53.22265625,-36.62109375,-48.828125,-43.9453125,0.0
1740793837.6520386,-51.7578125,-42.96875,-54.6875,-45.8984375,0.0
1740793837.6559443,-38.57421875,-32.71484375,-47.8515625,-53.22265625,0.0
1740793837.6598504,-49.8046875,-30.76171875,-46.38671875,-55.6640625,0.0
1740793837.6637564,-64.453125,-39.0625,-46.875,-59.08203125,0.0
1740793837.6676624,-48.33984375,-33.203125,-41.9921875,-51.26953125,0.0
1740793837.6715703,-36.62109375,-32.2265625,-42.48046875,-45.8984375,0.0
1740793837.6754763,-32.71484375,-30.76171875,-45.41015625,-47.36328125,0.0
1740793837.6793823,-43.9453125,-33.203125,-41.9921875,-27.83203125,0.0
1740793837.6832883,-38.57421875,-41.015625,-41.9921875,-25.390625,0.0
1740793837.6871943,-34.66796875,-40.52734375,-41.50390625,-34.1796875,0.0
1740793837.6911004,-28.80859375,-39.0625,-40.52734375,-25.390625,0.0
1740793837.6950064,-37.59765625,-37.59765625,-41.50390625,-29.78515625,0.0
1740793837.6989124,-62.5,-31.25,-46.38671875,-23.4375,0.0
1740793837.7028182,-40.52734375,-22.94921875,-48.33984375,-36.1328125,0.0
1740793837.7067242,-29.296875,-39.55078125,-42.96875,-51.7578125,0.0
1740793837.7106302,-51.7578125,-44.43359375,-37.59765625,-32.2265625,0.0
1740793837.7145362,-41.9921875,-31.73828125,-39.0625,-24.4140625,0.0
1740793837.718444,-20.5078125,-37.109375,-39.0625,-40.52734375,0.0
1740793837.7223501,-36.62109375,-41.50390625,-47.36328125,-50.78125,0.0
1740793837.7262561,-57.12890625,-47.36328125,-42.48046875,-52.734375,0.0
1740793837.7301621,-30.76171875,-46.875,-37.109375,-43.9453125,0.0
